,ClubID,ClubNameR,DistID,DistName,ClubSample,ClubWeight
0,101005,Aberdeen Deeside,,,,
1,101011,Alford & District,,,,
2,101019,Blairgowrie,,,,
3,101022,Broughty Ferry,,,,
4,101030,Claverhouse,,,,
5,101034,Dingwall,,,,
6,101036,Dunfermline,,,,
7,101038,East Sutherland,,,,
8,101039,Elgin,,,,
9,101044,Fraserburgh,,,,
10,101051,Inverness Loch Ness,,,,
11,101052,Inverness Riverside,,,,
12,101053,Inverurie,,,,
13,101058,"Kintore, Kemnay & District",,,,
14,101061,Kirriemuir,,,,
15,101063,Leven,,,,
16,101066,Nairn,,,,
17,101067,North Fife,,,,
18,101087,Westhill & District,,,,
19,102019,Eyemouth & District,,,,
20,102026,Jedburgh,,,,
21,102035,Linlithgow & Boness,,,,
22,102037,Livingston,,,,
23,102045,North Berwick,,,,
24,102049,Selkirk,,,,
25,103011,Cleadon & District,,,,
26,103018,Durham,,,,
27,104002,Barnsley,,,,
28,104004,Barton-upon-Humber,,,,
29,104015,Brigg,,,,
30,104020,Denby Dale & District,,,,
31,104031,Harrogate,,,,
32,104044,Hull,,,,
33,104048,Ilkley,,,,
34,104049,Ilkley Wharfedale,,,,
35,104050,Keighley,,,,
36,104064,Ossett,,,,
37,104073,Roundhay,,,,
38,104077,Scunthorpe Pentagon,,,,
39,104088,Todmorden,,,,
40,104097,York,,,,
41,104098,York Ainsty,,,,
42,106040,Rugby,,,,
43,106041,Rugby Dunsmore,,,,
44,107001,Alford & Mablethorpe,,,,
45,107007,Blaby Meridian,,,,
46,107011,Bourne,,,,
47,107012,Brackley,,,,
48,107016,Corby Phoenix,,,,
49,107031,Leicester,,,,
50,107032,Leicester de Montfort,,,,
51,107036,Lindum Lincoln,,,,
52,107037,Lincoln Colonia,,,,
53,107046,Melton Mowbray,,,,
54,107053,Oadby Launde,,,,
55,107054,Oadby,,,,
56,107058,Peterborough Ortons,,,,
57,107061,Rushden Chichele,,,,
58,107075,St Neots St Marys,,,,
59,107076,Stamford,,,,
60,107087,Wreake Valley,,,,
61,108007,Cambridge,,,,
62,108008,Cambridge Rutherford,,,,
63,108013,Diss Waveney,,,,
64,108015,Ely,,,,
65,108018,Felixstowe,,,,
66,108029,Ipswich,,,,
67,108054,Stowmarket,,,,
68,108062,Woodbridge,,,,
69,108064,Wroxham Bure Valley,,,,
70,108065,Wymondham,,,,
71,109009,Burford & Kingham,,,,
72,109021,Henley-on-Thames,,,,
73,109027,Maidenhead,,,,
74,109028,Maidenhead Bridge,,,,
75,109032,Marlow Thames,,,,
76,109037,Oxford North,,,,
77,109039,Pangbourne,,,,
78,109042,Reading,,,,
79,109044,Reading Maiden Erlegh,,,,
80,109046,Slough,,,,
81,109049,Uxbridge,,,,
82,110002,Bristol,,,,
83,110003,Bristol Breakfast,,,,
84,110007,Cheltenham North,,,,
85,110011,Chipping Sodbury,,,,
86,110019,Evesham,,,,
87,110020,Fishponds & Downend,,,,
88,110032,Malvern,,,,
89,110035,Nailsea & Blackwell,,,,
90,110038,North Cotswolds,,,,
91,110041,Ross on Wye,,,,
92,110056,Thornbury,,,,
93,110058,Worcester,,,,
94,110061,Yate & District,,,,
95,111008,Basingstoke Loddon,,,,
96,111014,Bournemouth,,,,
97,111018,Chandlers Ford & Itchen Valley,,,,
98,111019,Christchurch,,,,
99,111020,Cosham,,,,
100,111033,Havant,,,,
101,111043,Parkstone,,,,
102,111044,Poole,,,,
103,111050,Romsey Test,,,,
104,111060,Southampton Clausentum,,,,
105,111065,Sturminster Newton,,,,
106,111066,Swanage & Purbeck,,,,
107,111070,Wareham,,,,
108,111076,Wimborne,,,,
109,112003,Bexhill,,,,
110,112006,Bromley,,,,
111,112008,Canterbury Sunrise,,,,
112,112018,Dover,,,,
113,112042,Maidstone Riverside,,,,
114,112044,Margate,,,,
115,112046,Medway Sunlight,,,,
116,112048,North Downs,,,,
117,112064,Sittingbourne Invicta,,,,
118,112073,Uckfield,,,,
119,112074,Weald of Kent,,,,
120,112076,Westgate & Birchington,,,,
121,113017,Epping,,,,
122,113033,"Loughton, Buckhurst Hill & Chigwell",,,,
123,113040,Roding,,,,
124,114531,Dorking,,,,
125,114533,East Grinstead Meridian,,,,
126,114537,Farnborough,,,,
127,114538,Farnham,,,,
128,114545,Guildford Chantries,,,,
129,114547,Hart,,,,
130,114557,Leatherhead,,,,
131,114567,Oxted & Limpsfield,,,,
132,114576,Seaford,,,,
133,114583,Sussex Vale,,,,
134,114590,Walton-on-Thames,,,,
135,115002,Abergavenny,,,,
136,115015,Cardiff Breakfast,,,,
137,115021,Cowbridge,,,,
138,115030,Knighton & District,,,,
139,115049,Porthcawl,,,,
140,115053,Swansea,,,,
141,116010,Belfast,,,,
142,116025,Donaghadee,,,,
143,116058,Newtownabbey,,,,
144,117506,Bideford,,,,
145,117519,Dartmouth,,,,
146,117531,Holsworthy,,,,
147,117550,Penzance,,,,
148,117552,Plymouth,,,,
149,117553,Plymouth Mayflower,,,,
150,117555,Preston,,,,
151,117559,Saltash,,,,
152,117562,Sidmouth,,,,
153,117565,St Austell,,,,
154,117575,Torquay,,,,
155,118003,Bangor Gwynedd,,,,
156,118023,Formby,,,,
157,118028,Holyhead,,,,
158,118030,Liverpool South,,,,
159,118032,Llanfairfechan & Penmaenmawr,,,,
160,118039,Mold,,,,
161,118042,Newtown,,,,
162,118055,Rhyl,,,,
163,118058,Saughall,,,,
164,118073,Winsford & Middlewich,,,,
165,118078,Wych Malbank,,,,
166,119002,Ambleside,,,,
167,119003,Ambleside Kirkstone,,,,
168,119014,Burnley,,,,
169,119019,Carnforth,,,,
170,119027,Furness,,,,
171,119046,Penrith,,,,
172,119051,Preston South,,,,
173,119053,Rossendale,,,,
174,119056,St Annes-on-the-Sea,,,,
175,119057,Thornton-Cleveleys,,,,
176,119064,Workington,,,,
177,120011,Chippenham,,,,
178,120014,Crewkerne District,,,,
179,120029,Midsomer Norton & Radstock,,,,
180,120031,Somerset Community Volunteers,,,,
181,120043,Weston-Super-Mare,,,,
182,121012,Ludlow,,,,
183,121015,Wrekin,,,,
184,121043,Wolverhampton,,,,
185,122003,Amber Valley,,,,
186,122007,Beeston,,,,
187,122027,Dronfield,,,,
188,122029,Epworth & Isle of Axholme,,,,
189,122039,Mansfield,,,,
190,122053,Sheffield,,,,
191,122057,Southwell,,,,
192,122064,Wirksworth,,,,
193,123004,Barrhead,,,,
194,123011,Cumnock,,,,
195,123023,Govan,,,,
196,123025,Gryffe Valley,,,,
197,123028,Helensburgh Garelochside,,,,
198,123032,Kelvin,,,,
199,123039,Oban,,,,
200,124009,Brentwood,,,,
201,124016,Chelmsford,,,,
202,124023,Colchester,,,,
203,124034,Harlow Tye,,,,
204,124040,Kelvedon & District,,,,
205,124054,Stort Valley,,,,
206,124055,Thorpe Bay,,,,
207,126004,Amwell,,,,
208,126019,Chesham,,,,
209,126025,Hatfield,,,,
210,126030,Hitchin Priory,,,,
211,126046,Royston,,,,
212,126049,St Albans Priory,,,,
213,128505,Bolton Daybreak,,,,
214,128519,Frodsham & Helsby,,,,
215,128559,Tottington & Bury West,,,,
216,128562,Warrington,,,,
217,128567,Worsley,,,,
218,999999,,,,,
