,ClubID,IndvID,Country,PostCode,Gender,Age,BirthYear,BirthMonth,ActivityStatus,ResidentialStatus,OwnershipStatus,LiveAlone,Ethnicity,Education,Religion,PersonalChallenges,MaritalStat,ChildNum,ChildCoResNum_1,ChildCoResNum_2,ChildCoResNum_3,ChildCoResNum_4,ChildCoResNum_5,SibsNum,HasOthFamily,HasFriends,ContactInPerson_Child,ContactPhone_Child,ContactEmail_Child,ContactText_Child,ContactVideo_Child,ContactSocMedia_Child,ChangeContact_Child,ChangeInPerson_Child,ContactInPerson_Sibs,ContactPhone_Sibs,ContactEmail_Sibs,ContactText_Sibs,ContactVideo_Sibs,ContactSocMedia_Sibs,ChangeContact_Sibs,ChangeInPerson_Sibs,ContactInPerson_OthFamily,ContactPhone_OthFamily,ContactEmail_OthFamily,ContactText_OthFamily,ContactVideo_OthFamily,ContactSocMedia_OthFamily,ChangeContact_OthFamily,ChangeInPerson_OthFamily,ContactInPerson_Friends,ContactPhone_Friends,ContactEmail_Friends,ContactText_Friends,ContactVideo_Friends,ContactSocMedia_Friends,ChangeContact_Friends,ChangeInPerson_Friends,Lonely,ChangeLonely,HowConcerned,Isolating,ChangeIsolating,DaysExercise,ChangeExercise,DaysAlcohol,ChangeAlcohol,DifficultySleep,ChangeSleep,Disability,LimitActivities,PhysicalHealth,ChangePhysical,MentalHealth,ChangeMental,RotaryMember,RotaryInvolvement,RotaryChange,RotaryChallenges,CovidAct,OthAct,ImpactOnMeetings,ImpactOnPartnerships,ImpactOnFinances,ImpactOnMembership,OthImpact,RotaryResponse,Contrib_Charitable,Contrib_Religious,Contrib_Other,ContribChange_Charitable,ContribChange_Religious,ContribToCovid,Latitude,Longitude
0,101005,1,Scotland,,Male,75 or more years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,HNC/HND or equivalent,Catholic,,Living with a partner as if married,2,,None,,,,2,Yes,Yes,No,Yes,No,No,No,No,Remained about the same,Decreased,No,Yes,No,No,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,Remained about the same,Remained about the same,Yes,Yes,Yes,No,No,No,Remained about the same,Remained about the same,Some of the time,Remained about the same,Very concerned,Most of the time,Remained about the same,7.0,Increased,3.0,Remained about the same,None,Remained about the same,No,,Good,About the same,Fair,Worse,Yes,Yes,Remained about the same,,,,"Yes, mixed impact",No impact,"Yes, negatively impacted","Yes, negatively impacted",,,Both,,,Increased,,In part,57.1385955810546,-2.17610168457031
1,101005,2,Scotland,,Male,75 or more years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,HNC/HND or equivalent,Protestant,,Married,3,,,None,,,0,Yes,Yes,No,Yes,No,No,No,No,Remained about the same,Decreased,No,No,No,No,No,No,,,No,No,No,No,Yes,No,Decreased,Decreased,Yes,No,No,No,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,A little concerned,Some of the time,Remained about the same,3.0,Decreased,3.0,Remained about the same,Mild,Remained about the same,Yes,No,Good,About the same,Very good,About the same,Yes,Yes,Remained about the same,,,,"Yes, mixed impact","Yes, mixed impact","Yes, negatively impacted","Yes, negatively impacted",,,Financial contribution,No contribution,Financial contribution,Remained about the same,,Yes,57.1385955810546,-2.17610168457031
2,101011,1,Scotland,,Female,18-54 years,,,Other,A private or family household,Owned outright,Yes,Scottish,Highers or equivalent,Protestant,,Divorced,None,,,,,,2,No,Yes,No,No,No,No,No,No,,,No,No,No,No,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Increased,Decreased,Some of the time,Remained about the same,Very concerned,Some of the time,Remained about the same,7.0,Increased,0.0,Remained about the same,Mild,Remained about the same,No,,Very good,About the same,Good,About the same,Yes,Yes,Decreased,,,,"Yes, mixed impact","Yes, negatively impacted","Yes, negatively impacted",No impact,,,Both,Financial contribution,Both,Increased,Increased,Yes,57.0991058349609,-2.54440307617187
3,101019,1,Scotland,,Male,55-64 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",British,Postgraduate/higher degree,Protestant,,Married,1,Yes,,,,,2,No,Yes,Yes,No,No,No,No,No,Remained about the same,Remained about the same,No,Yes,No,No,No,No,Remained about the same,Decreased,No,No,No,No,No,No,,,No,No,No,Yes,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,A little concerned,Some of the time,Remained about the same,7.0,Remained about the same,0.0,Remained about the same,Mild,Remained about the same,No,,Excellent,About the same,Excellent,About the same,Yes,Yes,Remained about the same,,,,"Yes, negatively impacted","Yes, negatively impacted",No impact,No impact,,,Financial contribution,No contribution,Both,Decreased,,Yes,56.1118927001953,-3.34429931640625
4,101022,1,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,First degree,Protestant,,Married,2,,None,,,,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Increased,Decreased,Yes,Yes,Yes,Yes,No,No,Increased,Remained about the same,No,No,Yes,No,No,No,Remained about the same,Remained about the same,Yes,Yes,Yes,Yes,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,Moderately concerned,Some of the time,Decreased,3.0,Remained about the same,6.0,Increased,Mild,Remained about the same,Yes,No,Very good,About the same,Excellent,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",,,Financial contribution,No contribution,Financial contribution,Increased,,Yes,56.4797058105468,-2.85859680175781
5,101022,2,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,First degree,Protestant,,Married,3,,,None,,,1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Decreased,Decreased,No,Yes,No,Yes,No,No,Decreased,Decreased,Yes,No,No,No,No,No,Decreased,Decreased,Yes,Yes,No,No,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,A little concerned,Some of the time,Remained about the same,7.0,Increased,5.0,Remained about the same,Mild,Remained about the same,No,,Very good,About the same,Very good,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",,,Financial contribution,Both,Financial contribution,Remained about the same,Remained about the same,No,56.5292053222656,-3.07449340820312
6,101022,3,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,Postgraduate/higher degree,No religion/Atheist/Agnostic,,Married,2,,None,,,,2,Yes,Yes,Yes,Yes,No,Yes,No,No,Remained about the same,Decreased,No,No,No,No,No,Yes,Remained about the same,Remained about the same,Yes,No,No,No,No,No,Decreased,Decreased,Yes,No,No,Yes,No,Yes,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Very concerned,Some of the time,Decreased,7.0,Remained about the same,3.0,Remained about the same,Mild,Remained about the same,Yes,No,Very good,About the same,Good,Worse,Yes,Yes,Remained about the same,,,,"Yes, mixed impact","Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",,,Financial contribution,No contribution,Financial contribution,Increased,,In part,56.4806060791015,-2.93580627441406
7,101030,1,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",English,Postgraduate/higher degree,Protestant,,Married,2,,None,,,,1,Yes,Yes,No,No,No,No,Yes,No,Increased,Decreased,No,No,Yes,No,No,No,Remained about the same,Remained about the same,No,No,No,No,Yes,No,Increased,Remained about the same,Yes,No,No,No,No,No,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Very concerned,Some of the time,Decreased,3.0,Decreased,3.0,Remained about the same,Severe,Worsened,No,,Fair,Worse,Very good,About the same,Yes,Yes,Increased,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, positively impacted","Yes, negatively impacted",,,Both,No contribution,Both,Increased,,Yes,56.4797058105468,-2.85859680175781
8,101030,2,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,First degree,Protestant,,Married,1,No,,,,,2,Yes,Yes,Yes,No,No,Yes,No,No,Increased,Decreased,No,No,No,No,Yes,No,Remained about the same,Decreased,Yes,No,No,No,No,No,Remained about the same,Decreased,Yes,No,No,No,Yes,No,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Very concerned,Most of the time,Decreased,6.0,Remained about the same,6.0,Remained about the same,Mild,Remained about the same,Yes,Yes,Good,About the same,Very good,About the same,Yes,Yes,Remained about the same,,,,"Yes, mixed impact","Yes, mixed impact","Yes, mixed impact","Yes, negatively impacted",,,Both,No contribution,Contribution of time,Increased,,In part,56.4806060791015,-2.93580627441406
9,101030,3,Scotland,,Male,75 or more years,,,Retired,A private or family household,Owned outright,Yes,Scottish,First degree,Protestant,,Widowed,2,,None,,,,0,Yes,Yes,Yes,Yes,No,No,Yes,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,Yes,Yes,No,No,Yes,No,Remained about the same,Remained about the same,Yes,Yes,No,No,No,No,Remained about the same,Decreased,Some of the time,Increased,Moderately concerned,Some of the time,Decreased,7.0,Increased,2.0,Remained about the same,None,Remained about the same,Yes,No,Good,About the same,Good,About the same,Yes,Yes,Remained about the same,,,,"Yes, mixed impact","Yes, positively impacted",No impact,"Yes, negatively impacted",,,Financial contribution,,Financial contribution,Increased,,Yes,56.4797058105468,-2.85859680175781
10,101030,4,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,Postgraduate/higher degree,Protestant,,Married,2,,None,,,,0,No,Yes,No,No,No,Yes,No,No,Decreased,Decreased,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,Yes,Yes,No,Yes,Decreased,Decreased,Hardly ever or never,Remained about the same,Very concerned,Most of the time,Remained about the same,7.0,Remained about the same,3.0,Decreased,None,Remained about the same,No,,Excellent,About the same,Very good,About the same,Yes,Yes,Remained about the same,,,,"Yes, negatively impacted","Yes, negatively impacted",No impact,"Yes, negatively impacted",,,Both,No contribution,No contribution,Decreased,,In part,51.4963989257812,-0.122406005859375
11,101030,5,Scotland,,Male,75 or more years,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,,,Very concerned,,,,,,,,,,,,,,,Yes,Yes,Remained about the same,,,,"Yes, negatively impacted","Yes, mixed impact","Yes, positively impacted",,,,Both,,Both,Remained about the same,,Yes,,
12,101030,6,Scotland,,Male,65-74 years,,,,,,,,,,,Married,2,,None,,,,2,Yes,Yes,Yes,Yes,No,No,No,Yes,Increased,Remained about the same,Yes,Yes,No,No,No,Yes,Increased,Increased,Yes,No,No,No,No,No,Remained about the same,Increased,Yes,No,No,No,No,No,Decreased,Decreased,Hardly ever or never,,Moderately concerned,Most of the time,Decreased,6.0,Increased,0.0,,None,Remained about the same,Yes,No,Good,Better,Excellent,About the same,Yes,Yes,Decreased,,,,"Yes, mixed impact","Yes, mixed impact","Yes, positively impacted",No impact,,,Both,No contribution,Both,Decreased,,In part,,
13,101030,7,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,HNC/HND or equivalent,Protestant,,Married,2,,None,,,,2,Yes,Yes,Yes,No,No,No,No,No,Decreased,Decreased,Yes,Yes,No,Yes,No,No,Decreased,Decreased,Yes,No,No,No,No,No,Remained about the same,Remained about the same,Yes,No,No,No,No,No,Decreased,Decreased,Hardly ever or never,,Moderately concerned,Some of the time,Remained about the same,7.0,Increased,0.0,Remained about the same,None,Remained about the same,Yes,Yes,Good,Worse,Excellent,About the same,Yes,Yes,Remained about the same,,,,"Yes, positively impacted","Yes, positively impacted",No impact,"Yes, mixed impact",,,Both,,Contribution of time,Remained about the same,,No,56.4806060791015,-2.93580627441406
14,101034,1,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,O level/O grade or equivalent,No religion/Atheist/Agnostic,,Married,None,,,,,,3,No,Yes,No,No,No,No,No,No,,,No,Yes,Yes,Yes,Yes,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,Yes,Yes,No,No,No,No,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Moderately concerned,Some of the time,Decreased,7.0,Remained about the same,3.0,Remained about the same,Mild,Remained about the same,Yes,No,Very good,About the same,Very good,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, mixed impact",No impact,"Yes, mixed impact",,,Financial contribution,,Financial contribution,Remained about the same,,Yes,56.6224060058593,-3.87309265136718
15,101034,2,Scotland,,Female,18-54 years,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,,,Moderately concerned,,,,,,,,,,,,,,,Yes,Yes,Decreased,,,,,,,,,,Financial contribution,No contribution,Financial contribution,Remained about the same,,In part,,
16,101036,1,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",British,HNC/HND or equivalent,Protestant,,Married,2,,None,,,,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,Yes,Yes,No,Yes,No,No,Remained about the same,Remained about the same,Yes,Yes,Yes,Yes,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,Extremely concerned,Some of the time,Remained about the same,0.0,Remained about the same,1.0,Remained about the same,Severe,Remained about the same,Yes,Yes,Fair,About the same,Good,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",No impact,,,Financial contribution,No contribution,Financial contribution,Increased,,Yes,56.1174011230468,-3.53450012207031
17,101036,2,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",British,Postgraduate/higher degree,Protestant,,Married,3,,,None,,,2,Yes,Yes,Yes,No,No,Yes,No,No,Increased,Increased,No,No,No,Yes,No,No,Increased,Increased,Yes,Yes,Yes,Yes,No,No,Increased,Increased,No,No,Yes,Yes,No,No,Increased,Remained about the same,Hardly ever or never,Remained about the same,Moderately concerned,Some of the time,Decreased,3.0,Remained about the same,3.0,Increased,None,Remained about the same,No,,Very good,About the same,Good,About the same,Yes,Yes,Remained about the same,,,,"Yes, positively impacted","Yes, positively impacted","Yes, mixed impact",No impact,,,Financial contribution,No contribution,No contribution,Increased,,In part,56.1174011230468,-3.53450012207031
18,101036,3,Scotland,,Male,55-64 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,First degree,Protestant,,Married,3,,,None,,,4 or more,Yes,Yes,No,No,No,Yes,No,Yes,Decreased,Decreased,Yes,Yes,No,Yes,No,Yes,Remained about the same,Decreased,Yes,Yes,No,Yes,No,Yes,Remained about the same,Decreased,Yes,Yes,Yes,Yes,Yes,Yes,Remained about the same,Decreased,Some of the time,Remained about the same,Very concerned,Some of the time,Remained about the same,6.0,Increased,3.0,Remained about the same,Moderate,Worsened,Yes,Yes,Good,About the same,Good,About the same,Yes,Yes,Remained about the same,,,,"Yes, positively impacted","Yes, positively impacted","Yes, mixed impact","Yes, mixed impact",,,Both,No contribution,Financial contribution,Increased,,Yes,56.0348052978515,-3.49809265136718
19,101036,4,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,HNC/HND or equivalent,Catholic,,Married,3,,,None,,,3,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Decreased,Decreased,No,Yes,No,No,No,No,Increased,Remained about the same,No,No,No,No,Yes,No,Decreased,Decreased,No,Yes,Yes,Yes,No,No,Decreased,Decreased,Some of the time,Increased,Very concerned,All of the time,Remained about the same,3.0,Remained about the same,0.0,Remained about the same,Moderate,Remained about the same,Yes,No,Good,About the same,Good,About the same,Yes,Yes,Decreased,,,,"Yes, mixed impact","Yes, mixed impact","Yes, mixed impact",No impact,,,Financial contribution,Financial contribution,Financial contribution,Increased,Increased,In part,56.0348052978515,-3.49809265136718
20,101036,5,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,HNC/HND or equivalent,No religion/Atheist/Agnostic,,Married,2,,None,,,,1,Yes,Yes,Yes,Yes,No,Yes,No,No,Remained about the same,Remained about the same,Yes,Yes,No,Yes,No,No,Remained about the same,Remained about the same,Yes,Yes,No,No,No,No,Remained about the same,Remained about the same,No,Yes,Yes,Yes,No,No,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Very concerned,Some of the time,Remained about the same,5.0,Increased,2.0,Remained about the same,None,Remained about the same,No,,Very good,About the same,Very good,About the same,Yes,Yes,Increased,,,,"Yes, mixed impact","Yes, positively impacted","Yes, negatively impacted","Yes, positively impacted",,,Both,,Both,Increased,,In part,56.0348052978515,-3.49809265136718
21,101036,6,Scotland,,Male,55-64 years,,,Self-employed,A private or family household,Still being bought,"No, I live with at least one other person",Scottish,Postgraduate/higher degree,No religion/Atheist/Agnostic,,Married,2,,2,,,,2,No,Yes,Yes,Yes,No,Yes,No,Yes,Increased,Increased,Yes,No,Yes,Yes,No,No,Increased,Increased,No,No,No,No,No,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Increased,Increased,Hardly ever or never,Remained about the same,Extremely concerned,None of the time,Decreased,3.0,Remained about the same,4.0,Increased,Severe,Remained about the same,No,,Good,About the same,Good,About the same,Yes,Yes,Remained about the same,,,,"Yes, mixed impact","Yes, negatively impacted","Yes, negatively impacted","Yes, mixed impact",,,Both,No contribution,No contribution,Remained about the same,,Yes,51.5597991943359,-0.0095977783203125
